"Area","Building","Tourist","Expenditure"
"서울",121233,27677860,3985046282778
"부산",48290,5284413,967530362343
"대구",32826,984702,594790691981
"인천",31981,9006523,549003297226
"광주",18443,503517,332384227917
"대전",19682,483927,285148275583
"울산",17168,1068907,202721844866
"세종",2642,114821,30925245591
"경기",137606,9359910,2491254341747
"강원",30104,1854111,328332548161
"충북",24525,781505,248462798838
"충남",30920,1655436,365120937063
"전북",23896,915657,279319864816
"전남",27319,2108190,252695143496
"경북",43383,1700946,403197549177
"경남",52829,2199427,501632134227
"제주",12352,5920797,263440655375
