seq,stdDay,gubun,gubunEn,deathCnt,incDec,isolClearCnt,qurRate,defCnt,isolIngCnt,overFlowCnt,localOccCnt,createDt,updateDt
128,2020-03-10,합계,,54,131,247,14.49,7513,,,,2020-03-10 10:58,
129,2020-03-10,서울,,,11,31,1.45,141,,,,2020-03-10 10:58,
130,2020-03-10,부산,,,,10,2.81,96,,,,2020-03-10 10:58,
131,2020-03-10,대구,,38,92,92,232.42,5663,,,,2020-03-10 10:58,
132,2020-03-10,인천,,,4,3,0.44,13,,,,2020-03-10 10:58,
133,2020-03-10,광주,,,,3,1.03,15,,,,2020-03-10 10:58,
134,2020-03-10,대전,,,-1,1,1.22,18,,,,2020-03-10 10:58,
135,2020-03-10,울산,,,,1,2.09,24,,,,2020-03-10 10:58,
136,2020-03-10,세종,,,2,,2.34,8,,,,2020-03-10 10:58,
137,2020-03-10,경기,,1,11,22,1.23,163,,,,2020-03-10 10:58,
138,2020-03-10,강원,,1,,6,1.82,28,,,,2020-03-10 10:58,
139,2020-03-10,충북,,,,3,1.56,25,,,,2020-03-10 10:58,
140,2020-03-10,충남,,,2,1,4.9,104,,,,2020-03-10 10:58,
141,2020-03-10,전북,,,,2,0.39,7,,,,2020-03-10 10:58,
142,2020-03-10,전남,,,,1,0.21,4,,,,2020-03-10 10:58,
143,2020-03-10,경북,,14,10,60,41.95,1117,,,,2020-03-10 10:58,
144,2020-03-10,경남,,,,10,2.47,83,,,,2020-03-10 10:58,
145,2020-03-10,제주,,,,1,0.6,4,,,,2020-03-10 10:58,
146,2020-03-11,합계,,60,242,288,14.96,7755,,,,2020-03-11 11:00,
147,2020-03-11,서울,,,52,37,1.98,193,,,,2020-03-11 11:00,
148,2020-03-11,부산,,1,2,21,2.87,98,,,,2020-03-11 11:00,
149,2020-03-11,대구,,43,131,102,237.8,5794,,,,2020-03-11 11:00,
150,2020-03-11,인천,,,12,3,0.85,25,,,,2020-03-11 11:00,
151,2020-03-11,광주,,,,3,1.03,15,,,,2020-03-11 11:00,
152,2020-03-11,대전,,,,2,1.22,18,,,,2020-03-11 11:00,
153,2020-03-11,울산,,,1,2,2.18,25,,,,2020-03-11 11:00,
154,2020-03-11,세종,,,2,,2.92,10,,,,2020-03-11 11:00,
155,2020-03-11,경기,,1,12,25,1.32,175,,,,2020-03-11 11:00,
156,2020-03-11,강원,,1,1,6,1.88,29,,,,2020-03-11 11:00,
157,2020-03-11,충북,,,2,3,1.69,27,,,,2020-03-11 11:00,
158,2020-03-11,충남,,,8,1,5.28,112,,,,2020-03-11 11:00,
159,2020-03-11,전북,,,,2,0.39,7,,,,2020-03-11 11:00,
160,2020-03-11,전남,,,,1,0.21,4,,,,2020-03-11 11:00,
161,2020-03-11,경북,,14,18,69,42.63,1135,,,,2020-03-11 11:00,
162,2020-03-11,경남,,,1,10,2.5,84,,,,2020-03-11 11:00,
